Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,5,6,7,7,8,9,9,8,9,10,11,12,13,13,14,13,12,12,11,11,11,10,10,9,9,9,9,9,9,9,9,14,13,15,8,
People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,7.4
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.12998917,99.1295453,99.12824741,99.12696637,99.12569631,99.12444839,99.12319858,99.12197203,99.12075586,99.11955554,99.11836773,99.11718711,99.11602158,99.11485732,99.11370295,99.11256082,99.11141789,99.11029503,99.10917638,99.10806003,99.10696467,99.10586943,99.10479026,,
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7181,,15280,,10487,,,,,,,,,,
"Prevalence of current tobacco use, females (% of female adults)",SH.PRV.SMOK.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,,,,28.5,,25.8,,,22.4,,,,,17.4,,,,,13.7,13,12.4,,
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,,,,,,,,,,,,,,,,,,,,,,,,,,33608,27052,19751,14402,11363,9470,8645,8170,7622,7179,7296,7608,7454,6766,6089,5723,5590,5300,4982,5036,5349,5459,5623,5534,5851,5971,6306,6822,7280,7120,7001,6836,7203,7260,7663,5337,5561,4782,8751,
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,93,93,92,92,92
Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2500,2300,2200,2000,1800,1700,1600,
Children (0-14) living with HIV,SH.HIV.0014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99.99999771,99.99999743,99.99999644,99.99999768,100,99.99999872,99.99999964,100,100,100,99.9999974,100,99.99999981,99.99999835,100,99.99999722,100,100,99.99999734,100,99.99999864,99.99999788,,
"Mortality rate, neonatal (per 1,000 live births)",SH.DYN.NMRT,16.1,15.6,15.1,14.6,14.1,13.7,13.3,12.9,12.6,12.4,12.2,12,11.7,11.5,11.2,10.8,10.2,9.5,8.8,8.1,7.5,6.9,6.4,6,5.7,5.5,5.2,5,4.8,4.6,4.5,4.4,4.4,4.3,4.2,4.1,4,3.9,3.8,3.8,3.8,3.7,3.6,3.5,3.5,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.7,2.7,2.7,2.7,
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,29.6,29.2,28.7,27.8,27,26.2,25.4,24.7,24.4,24,23.6,23.1,22.4,21.7,21,20.1,19.3,18.4,17.5,16.6,15.7,15,14.2,13.6,13.1,12.7,12.4,12.1,11.7,11.1,10.4,9.7,9.1,8.6,8.2,8,7.8,7.6,7.5,7.4,7.2,7.1,7,6.8,6.7,6.6,6.5,6.3,6.1,5.9,5.7,5.5,5.3,5.1,5,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,
Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.77283838,26.34413546,26.71168419,27.20031167,27.64049435,28.02506437,28.3521181,28.48196611,28.46671287,28.45626697,28.4951005,28.60806154,28.8559907,29.19425501,29.59266703,29.98968008,30.33932069,30.61613344,30.82731069,31.0039241,31.15095605,31.27901748,31.39691122,31.49928536,31.59564945,31.67361926,31.75237697,31.84387996,31.92882406,31.99848751,32.08071654,32.1606527,32.22238958,32.36274639,32.43864634
